,new_country,listed_in
0,Albania,"Dramas, International Movies"
1,Algeria,"Dramas, International MoviesClassic Movies, Dramas, International Movies"
2,Angola,"Action & Adventure, International Movies"
3,Argentina,"Comedies, Cult Movies, International MoviesStand-Up ComedyDramas, Independent Movies, International MoviesInternational Movies, ThrillersDramas, International MoviesDramas, International Movies, LGBTQ MoviesDramas, International MoviesComedies, International Movies, Music & MusicalsDramas, International MoviesDramas, International Movies, ThrillersInternational TV Shows, Spanish-Language TV Shows, TV ComediesComedies, Dramas, International MoviesChildren & Family Movies, Music & MusicalsStand-Up ComedyDramas, Independent Movies, International MoviesDramas, Independent Movies, International MoviesAction & Adventure, International MoviesDramas, International Movies, Music & MusicalsDramas, International MoviesMoviesStand-Up ComedyStand-Up ComedyStand-Up ComedyStand-Up ComedyStand-Up ComedyStand-Up ComedyDramas, International Movies, Romantic MoviesComedies, Horror Movies, International MoviesDocumentaries, International MoviesDramas, International Movies, Romantic MoviesDramas, International MoviesDramas, International MoviesAction & Adventure, Comedies, International MoviesDramas, International MoviesComedies, International Movies, Romantic MoviesDramas, International Movies, ThrillersAction & Adventure, Horror Movies, International MoviesComedies, Cult Movies, International MoviesHorror Movies, International Movies, ThrillersComedies, International MoviesDocumentaries, International Movies, Sports MoviesDramas, Independent Movies, International MoviesDramas, International MoviesDramas, International Movies, Sci-Fi & FantasyComedies, Dramas, Independent Movies"
4,Australia,"Dramas, Romantic MoviesChildren & Family Movies, Sports MoviesInternational Movies, Romantic MoviesDramas, Faith & Spirituality, International MoviesDramas, ThrillersDramas, Music & MusicalsStand-Up ComedyChildren & Family Movies, Dramas, Independent MoviesStand-Up ComedyChildren & Family Movies, DramasChildren & Family Movies, Sports MoviesInternational Movies, Sci-Fi & Fantasy, ThrillersInternational TV Shows, TV DramasAction & Adventure, Dramas, International MoviesDramas, International MoviesMoviesComediesChildren & Family Movies, Dramas, International MoviesStand-Up ComedyComedies, Independent Movies, International MoviesInternational Movies, ThrillersChildren & Family Movies, Dramas, Sports MoviesChildren & Family Movies, Dramas, Sports MoviesDocumentariesDramas, Sports MoviesChildren & Family Movies, ComediesDramas, International MoviesHorror MoviesDramas, International Movies, Music & MusicalsChildren & Family Movies, ComediesAction & Adventure, Sci-Fi & FantasyThrillersDocumentaries, International MoviesDramas, Independent Movies, LGBTQ MoviesDramas, International Movies, LGBTQ MoviesAction & Adventure, Sci-Fi & FantasyChildren & Family MoviesChildren & Family Movies, ComediesChildren & Family Movies, ComediesDramas, Romantic MoviesAction & Adventure, Sci-Fi & FantasyChildren & Family Movies, ComediesHorror MoviesMoviesMoviesDramasAction & Adventure, DramasClassic Movies, DramasComedies, Dramas, Independent MoviesClassic Movies, Dramas"
5,Austria,"Horror Movies, International Movies, ThrillersDramas, International MoviesInternational Movies, Sci-Fi & Fantasy, ThrillersDramas, Independent Movies, International MoviesDramas, Independent Movies, International Movies"
6,Bangladesh,"Dramas, Independent Movies, International MoviesComedies, Dramas, Independent MoviesDramas, Independent Movies, International Movies"
7,Belgium,"Comedies, Dramas, International MoviesAction & Adventure, International MoviesDramas, Independent MoviesComedies, Dramas, International MoviesDramas, Independent MoviesClassic Movies, Dramas, Independent MoviesComedies, International Movies, Romantic MoviesCrime TV Shows, International TV Shows, TV DramasDocumentariesInternational Movies, ThrillersComedies, Dramas, Independent MoviesDramas, International Movies, ThrillersDramas, International MoviesDramas, International MoviesComedies, Horror Movies, International MoviesAction & Adventure, International MoviesDramas, International Movies, LGBTQ MoviesComedies, International MoviesHorror Movies, International MoviesComedies, Dramas, International MoviesComedies, Dramas, International MoviesDramas, International Movies, ThrillersComedies, Horror Movies, International MoviesIndependent Movies, ThrillersComedies, International MoviesDramas, International Movies, ThrillersDramas, International Movies, Romantic MoviesDramas, Independent Movies, International MoviesComedies, International MoviesDramas, Independent Movies, International MoviesDramas, International MoviesDocumentaries, International MoviesAction & AdventureChildren & Family Movies, Music & MusicalsChildren & Family MoviesAction & Adventure, Comedies, International MoviesAction & Adventure, Dramas, International MoviesDramas, International MoviesDramas, International Movies, Romantic MoviesAction & Adventure, Sci-Fi & FantasyChildren & Family Movies, Comedies"
8,Bermuda,Documentaries
9,Brazil,"Action & AdventureDramas, International MoviesComedies, International Movies, Music & MusicalsDramas, Independent Movies, International MoviesComedies, International MoviesAction & Adventure, Comedies, International MoviesDramas, Independent Movies, International MoviesChildren & Family Movies, Comedies, DramasDocuseries, International TV ShowsComedies, International MoviesInternational TV Shows, Reality TVDocuseries, International TV ShowsComedies, International Movies, LGBTQ MoviesStand-Up ComedyStand-Up ComedyChildren & Family Movies, Comedies, Music & MusicalsComedies, International Movies, Romantic MoviesStand-Up ComedyChildren & Family Movies, Comedies, Music & MusicalsDramas, Faith & Spirituality, International MoviesInternational TV Shows, TV Dramas, TV MysteriesChildren & Family Movies, Comedies, Music & MusicalsDramas, Faith & Spirituality, International MoviesStand-Up ComedyChildren & Family Movies, ComediesStand-Up ComedyComedies, Dramas, Independent MoviesDocumentaries, International MoviesComedies, International Movies, LGBTQ MoviesStand-Up ComedyDramas, Independent Movies, International MoviesDramas, Faith & Spirituality, International MoviesChildren & Family MoviesComedies, Dramas, International MoviesAction & Adventure, International MoviesStand-Up ComedyComedies, International Movies, Romantic MoviesDocumentaries, International Movies, LGBTQ MoviesComedies, Dramas, International MoviesStand-Up ComedyDramas, International MoviesAction & Adventure, International MoviesDramas, International MoviesDramas, International MoviesComedies, Dramas, International MoviesChildren & Family MoviesComedies, Dramas, Independent MoviesAction & Adventure, Dramas, International MoviesComedies, International MoviesComedies, International MoviesDramas, Independent Movies, Thrillers"
